0,NOII_type,0.04757874724798014,Datasets/GodClass,0.06862448645459505
1,NOAM_type,0.02815998860434838,Datasets/GodClass,0.06862448645459505
2,NOCS_type,0.10439095895687271,Datasets/GodClass,0.06862448645459505
3,NOM_type,0.07999822116501341,Datasets/GodClass,0.06862448645459505
4,NMO_type,0.04723894991395858,Datasets/GodClass,0.06862448645459505
5,ATFD_type,0.13504849371779554,Datasets/GodClass,0.06862448645459505
6,FANOUT_type,0.12292418329935385,Datasets/GodClass,0.06862448645459505
7,NOMNAMM_type,0.1106092471928637,Datasets/GodClass,0.06862448645459505
8,NOA_type,0.05782235090159893,Datasets/GodClass,0.06862448645459505
9,NIM_type,0.054389057015903096,Datasets/GodClass,0.06862448645459505
10,DIT_type,0.008679041648253442,Datasets/GodClass,0.06862448645459505
11,LOC_type,0.08016032628634752,Datasets/GodClass,0.06862448645459505
12,LOCNAMM_type,0.08312980106854412,Datasets/GodClass,0.06862448645459505
13,CFNAMM_type,0.11776116115583726,Datasets/GodClass,0.06862448645459505
14,TCC_type,0.08849007191645161,Datasets/GodClass,0.06862448645459505
15,CBO_type,0.09357850044647308,Datasets/GodClass,0.06862448645459505
16,RFC_type,0.08869485146129176,Datasets/GodClass,0.06862448645459505
17,NOC_type,0.036504686383314826,Datasets/GodClass,0.06862448645459505
18,WMC_type,0.09939473534612489,Datasets/GodClass,0.06862448645459505
19,LCOM5_type,0.08743400618246278,Datasets/GodClass,0.06862448645459505
20,WOC_type,0.06747457918964299,Datasets/GodClass,0.06862448645459505
21,WMCNAMM_type,0.1117350677629368,Datasets/GodClass,0.06862448645459505
22,AMW_type,0.11303733960878054,Datasets/GodClass,0.06862448645459505
23,AMWNAMM_type,0.11364004656603827,Datasets/GodClass,0.06862448645459505
24,NOCS_package,0.03588463267766246,Datasets/GodClass,0.06862448645459505
25,NOMNAMM_package,0.05726579019699654,Datasets/GodClass,0.06862448645459505
26,NOI_package,0.031445740067118644,Datasets/GodClass,0.06862448645459505
27,LOC_package,0.06428922065932036,Datasets/GodClass,0.06862448645459505
28,NOM_package,0.055419271195753655,Datasets/GodClass,0.06862448645459505
29,NOPK_project,0.026810818041119396,Datasets/GodClass,0.06862448645459505
30,NOCS_project,0.03263540556290486,Datasets/GodClass,0.06862448645459505
31,NOI_project,0.029463073157443863,Datasets/GodClass,0.06862448645459505
32,NOM_project,0.03256460801443723,Datasets/GodClass,0.06862448645459505
33,NOMNAMM_project,0.032564608014437245,Datasets/GodClass,0.06862448645459505
34,LOC_project,0.03256460801443724,Datasets/GodClass,0.06862448645459505
35,isStatic_type,0.08560217223140267,Datasets/GodClass,0.06862448645459505
36,NOPA_type,0.034102710917006014,Datasets/GodClass,0.06862448645459505
37,number_private_visibility_attributes,0.06229581287965852,Datasets/GodClass,0.06862448645459505
38,number_protected_visibility_attributes,0.06578034502030683,Datasets/GodClass,0.06862448645459505
39,number_package_visibility_attributes,0.050873949434694796,Datasets/GodClass,0.06862448645459505
40,num_final_attributes,0.06117568748889819,Datasets/GodClass,0.06862448645459505
41,num_static_attributes,0.0711888373287229,Datasets/GodClass,0.06862448645459505
42,num_final_static_attributes,0.06683632939690662,Datasets/GodClass,0.06862448645459505
43,num_not_final_not_static_attributes,0.05167741574380587,Datasets/GodClass,0.06862448645459505
44,num_final_not_static_attributes,0.06833429304606027,Datasets/GodClass,0.06862448645459505
45,num_static_not_final_attributes,0.05995951438346749,Datasets/GodClass,0.06862448645459505
46,number_public_visibility_methods,0.04668888285385171,Datasets/GodClass,0.06862448645459505
47,number_private_visibility_methods,0.12064810627736663,Datasets/GodClass,0.06862448645459505
48,number_protected_visibility_methods,0.09253412207816111,Datasets/GodClass,0.06862448645459505
49,number_package_visibility_methods,0.043044377672284785,Datasets/GodClass,0.06862448645459505
50,number_final_methods,0.07333478795641249,Datasets/GodClass,0.06862448645459505
51,number_abstract_methods,0.051308972316838106,Datasets/GodClass,0.06862448645459505
52,number_not_abstract_not_final_methods,0.07514806773993798,Datasets/GodClass,0.06862448645459505
53,number_static_methods,0.09569724976121585,Datasets/GodClass,0.06862448645459505
54,number_final_static_methods,0.07658670098203973,Datasets/GodClass,0.06862448645459505
55,number_final_not_static_methods,0.07627207463907637,Datasets/GodClass,0.06862448645459505
56,number_not_final_static_methods,0.09970134687005296,Datasets/GodClass,0.06862448645459505
57,number_not_final_not_static_methods,0.06649418903290001,Datasets/GodClass,0.06862448645459505
58,number_standard_design_methods,0.11922462151669978,Datasets/GodClass,0.06862448645459505
59,number_constructor_DefaultConstructor_methods,0.0398750244687817,Datasets/GodClass,0.06862448645459505
60,number_constructor_NotDefaultConstructor_methods,0.022925893053929114,Datasets/GodClass,0.06862448645459505
